Time;Temperature (° F);;Dew Point (° F);;Humidity (%);;Wind Speed (mph);;Pressure (Hg);
Jul;Max;Min;Max;Min;Max;Min;Max;Min;Max;Min
9;73;68;66;62;83;63;15;10;30.01;29.95
10;87;63;61;51;83;20;17;7;30.07;29.97
11;90;63;61;52;94;19;14;4;30.01;29.94
12;89;66;63;45;68;14;15;4;30.09;29.99
13;88;67;65;50;78;20;10;4;30.07;29.93
14;88;67;57;46;68;14;20;5;29.95;29.87
15;86;62;52;42;64;14;16;6;30.01;29.94
16;88;59;54;43;77;13;12;1;30.04;29.95
17;87;64;59;50;73;22;18;4;30.01;29.93
18;81;65;59;51;78;25;16;8;30.09;30.01
19;90;62;58;52;82;18;10;2;30.08;29.88
20;85;71;68;57;88;46;17;4;30.12;29.88
21;90;67;68;63;88;34;10;2;30.18;30.09
22;99;72;66;57;78;19;12;0;30.18;30.02
