Nom compagnie de validation;Tarif Pay�;MOIS;ANNEE;O&D paires d'a�roports
AIR FRANCE;0,1;8;2017;CDG - TLS
AIR FRANCE;0,36;12;2016;AMM - CDG
AIR FRANCE;1,36;12;2016;NCE - ORY
AIR FRANCE;20;9;2017;CDG - LIM
AIR FRANCE;20;9;2017;CDG - LIM
LUFTHANSA GERMAN AIRLINES;20,68;6;2017;BRU - STR
EMIRATES;20,82;1;2017;DXB - MRU
AIR FRANCE;23,2;12;2016;MLH - ORY
EMIRATES;24,17;8;2017;BSR - DXB
EMIRATES;24,46;3;2017;BSR - DXB
LUFTHANSA GERMAN AIRLINES;25;4;2016;CDG - MAA
LUFTHANSA GERMAN AIRLINES;25;4;2016;CDG - MAA
LUFTHANSA GERMAN AIRLINES;25;7;2016;CDG - CLJ
AIR FRANCE;27;9;2017;AMS - LIM
AIR FRANCE;30;9;2017;AMS - LIM
AIR FRANCE;32;5;2017;ORY - PTP
EMIRATES;33,34;1;2017;BSR - CDG
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;34,57;3;2016;ORY - PTP
AIR FRANCE;35;4;2016;AMS - CDG
AIR FRANCE;35;5;2016;MPL - ORY
AIR FRANCE;35;6;2016;BOD - ORY
AIR FRANCE;35;6;2016;MRS - ORY
AIR FRANCE;35;6;2016;AUH - TLS
AIR FRANCE;35;7;2016;ORY - RNS
AIR FRANCE;35;10;2016;ORY - TLS
AIR FRANCE;35;3;2017;NCE - ORY
AIR FRANCE;35;3;2017;CDG - TSE
AIR FRANCE;35;4;2017;LIL - NTE
AIR FRANCE;35;5;2017;MRS - ORY
AIR FRANCE;35;6;2017;CDG - TLV
AIR FRANCE;35;7;2017;NCE - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;9;2017;BOD - LYS
AIR FRANCE;35;9;2017;BOD - ORY
AIR FRANCE;35;12;2017;CDG - MEX
AIR FRANCE;35;1;2018;CDG - LIN
AIR FRANCE;35;1;2018;ORY - TLS
AIR FRANCE;42,5;12;2016;LIL - TLS
AIR FRANCE;43,01;10;2016;MRS - SXB
AIR FRANCE;43,38;7;2017;CDG - NCE
AIR FRANCE;43,83;7;2016;BOD - MRS
AIR FRANCE;45,33;2;2017;BOD - MRS
AIR FRANCE;48;10;2017;CDG - GOA
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;5;2016;BOD - CDG
AIR FRANCE;48,54;1;2017;BOD - LYS
AIR FRANCE;48,57;3;2017;LYS - NTE
AIR FRANCE;48,57;3;2017;LYS - NTE
AIR FRANCE;48,59;2;2017;BOD - ORY
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;10;2016;ORY - UIP
AIR FRANCE;48,64;10;2016;ORY - UIP
AIR FRANCE;48,64;10;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,75;10;2016;ORY - UIP
AIR FRANCE;48,96;9;2017;AMS - CDG
AIR FRANCE;49,09;10;2017;MRS - TLS
AIR FRANCE;49,09;1;2018;MRS - NTE
AIR FRANCE;49,29;3;2016;MRS - TLS
AIR FRANCE;49,29;7;2016;MRS - ORY
AIR FRANCE;49,31;8;2017;BOD - LYS
AIR FRANCE;49,38;7;2017;LIL - TLS
AIR FRANCE;49,38;7;2017;LIL - TLS
AIR FRANCE;49,47;1;2017;BOD - LYS
AIR FRANCE;49,48;12;2017;LIL - TLS
AIR FRANCE;49,52;2;2017;LYS - RNS
AIR FRANCE;50;12;2016;MRS - ORY
AIR FRANCE;54,68;2;2017;AMS - CDG
LUFTHANSA GERMAN AIRLINES;55;7;2016;MUC - TLS
AIR FRANCE;57,67;3;2017;BOD - ORY
AIR FRANCE;57,75;12;2016;ORY - TLS
AIR FRANCE;59,06;3;2017;ORY - TLS
AIR FRANCE;59,1;3;2016;BUD - CDG
